#    	x	    f(x)	         f'(x)	    f'(x) 	   f''(x)	    f''(x)
#    	 	         	       analytical    finite    analytical    finite
    -4.352	   415.518	  -493.155	  -492.549	   570.792	   570.710
    -4.350	   414.533	  -492.015	  -491.410	   569.497	   569.415
    -4.348	   413.550	  -490.877	  -490.274	   568.205	   568.123
    -4.346	   412.570	  -489.742	  -489.141	   566.915	   566.833
    -4.344	   411.591	  -488.610	  -488.009	   565.629	   565.547
    -4.342	   410.615	  -487.480	  -486.881	   564.345	   564.263
    -4.340	   409.642	  -486.353	  -485.755	   563.064	   562.982
    -4.338	   408.670	  -485.228	  -484.632	   561.786	   561.705
    -4.336	   407.701	  -484.106	  -483.511	   560.511	   560.430
    -4.334	   406.734	  -482.986	  -482.392	   559.238	   559.158
    -4.332	   405.769	  -481.869	  -481.277	   557.969	   557.888
    -4.330	   404.806	  -480.754	  -480.163	   556.702	   556.622
    -4.328	   403.846	  -479.642	  -479.053	   555.439	   555.358
    -4.326	   402.888	  -478.533	  -477.944	   554.178	   554.097
    -4.324	   401.932	  -477.426	  -476.839	   552.919	   552.839
    -4.322	   400.978	  -476.321	  -475.736	   551.664	   551.584
    -4.320	   400.027	  -475.219	  -474.635	   550.412	   550.332
    -4.318	   399.078	  -474.120	  -473.537	   549.162	   549.082
    -4.316	   398.131	  -473.023	  -472.441	   547.915	   547.836
    -4.314	   397.186	  -471.928	  -471.348	   546.671	   546.592
    -4.312	   396.243	  -470.836	  -470.257	   545.430	   545.351
    -4.310	   395.302	  -469.747	  -469.169	   544.191	   544.112
    -4.308	   394.364	  -468.660	  -468.083	   542.955	   542.877
    -4.306	   393.428	  -467.575	  -467.000	   541.722	   541.644
    -4.304	   392.494	  -466.493	  -465.919	   540.492	   540.414
    -4.302	   391.562	  -465.413	  -464.841	   539.264	   539.186
    -4.300	   390.632	  -464.336	  -463.765	   538.040	   537.962
    -4.298	   389.705	  -463.261	  -462.691	   536.818	   536.740
    -4.296	   388.780	  -462.189	  -461.620	   535.598	   535.521
    -4.294	   387.856	  -461.119	  -460.552	   534.382	   534.304
    -4.292	   386.935	  -460.052	  -459.485	   533.168	   533.091
    -4.290	   386.016	  -458.986	  -458.422	   531.957	   531.880
    -4.288	   385.099	  -457.924	  -457.360	   530.748	   530.672
    -4.286	   384.185	  -456.864	  -456.301	   529.543	   529.466
    -4.284	   383.272	  -455.806	  -455.245	   528.340	   528.263
    -4.282	   382.362	  -454.750	  -454.191	   527.139	   527.063
    -4.280	   381.453	  -453.697	  -453.139	   525.942	   525.866
    -4.278	   380.547	  -452.647	  -452.090	   524.747	   524.671
    -4.276	   379.643	  -451.599	  -451.043	   523.554	   523.479
    -4.274	   378.741	  -450.553	  -449.998	   522.365	   522.289
    -4.272	   377.841	  -449.509	  -448.956	   521.178	   521.102
    -4.270	   376.943	  -448.468	  -447.916	   519.994	   519.918
    -4.268	   376.047	  -447.429	  -446.879	   518.812	   518.737
    -4.266	   375.153	  -446.393	  -445.844	   517.633	   517.558
    -4.264	   374.261	  -445.359	  -444.811	   516.457	   516.382
    -4.262	   373.372	  -444.327	  -443.780	   515.283	   515.208
    -4.260	   372.484	  -443.298	  -442.752	   514.112	   514.037
    -4.258	   371.599	  -442.271	  -441.727	   512.943	   512.869
    -4.256	   370.715	  -441.246	  -440.703	   511.778	   511.704
    -4.254	   369.834	  -440.224	  -439.682	   510.614	   510.540
    -4.252	   368.955	  -439.204	  -438.663	   509.454	   509.380
    -4.250	   368.077	  -438.186	  -437.647	   508.296	   508.222
    -4.248	   367.202	  -437.171	  -436.633	   507.140	   507.067
    -4.246	   366.329	  -436.158	  -435.621	   505.987	   505.914
    -4.244	   365.457	  -435.147	  -434.611	   504.837	   504.764
    -4.242	   364.588	  -434.139	  -433.604	   503.689	   503.617
    -4.240	   363.721	  -433.133	  -432.599	   502.544	   502.472
    -4.238	   362.856	  -432.129	  -431.597	   501.402	   501.329
    -4.236	   361.993	  -431.127	  -430.596	   500.262	   500.189
    -4.234	   361.131	  -430.128	  -429.598	   499.124	   499.052
    -4.232	   360.272	  -429.131	  -428.602	   497.990	   497.917
    -4.230	   359.415	  -428.136	  -427.609	   496.857	   496.785
    -4.228	   358.560	  -427.144	  -426.617	   495.727	   495.656
    -4.226	   357.707	  -426.153	  -425.628	   494.600	   494.529
    -4.224	   356.855	  -425.165	  -424.641	   493.475	   493.404
    -4.222	   356.006	  -424.180	  -423.657	   492.353	   492.282
    -4.220	   355.159	  -423.196	  -422.675	   491.233	   491.162
    -4.218	   354.313	  -422.215	  -421.694	   490.116	   490.045
    -4.216	   353.470	  -421.236	  -420.717	   489.001	   488.931
    -4.214	   352.629	  -420.259	  -419.741	   487.889	   487.819
    -4.212	   351.789	  -419.284	  -418.768	   486.780	   486.709
    -4.210	   350.952	  -418.312	  -417.796	   485.672	   485.602
    -4.208	   350.116	  -417.342	  -416.827	   484.568	   484.497
    -4.206	   349.282	  -416.374	  -415.861	   483.465	   483.395
    -4.204	   348.451	  -415.408	  -414.896	   482.366	   482.296
    -4.202	   347.621	  -414.444	  -413.934	   481.268	   481.199
    -4.200	   346.793	  -413.483	  -412.973	   480.173	   480.104
    -4.198	   345.967	  -412.524	  -412.015	   479.081	   479.012
    -4.196	   345.143	  -411.567	  -411.060	   477.991	   477.922
    -4.194	   344.321	  -410.612	  -410.106	   476.903	   476.834
    -4.192	   343.501	  -409.659	  -409.154	   475.818	   475.749
    -4.190	   342.682	  -408.709	  -408.205	   474.736	   474.667
    -4.188	   341.866	  -407.761	  -407.258	   473.655	   473.587
    -4.186	   341.051	  -406.814	  -406.313	   472.578	   472.509
    -4.184	   340.239	  -405.870	  -405.370	   471.502	   471.434
